Unnamed: 0,bmi,gender,name,length,height,weight
0,34.2073961938,Male,img_0.bmp,85,157,84.32
1,26.4537197232,Male,img_1.bmp,83,156,64.38
2,34.9675605536,Female,img_2.bmp,99,158,87.29
3,22.044766436,Female,img_3.bmp,72,157,54.34
4,37.7587890625,Female,img_4.bmp,106,157,93.07
5,24.8864746094,Female,img_5.bmp,161,180,80.63
6,25.8455882353,Female,img_6.bmp,59,156,62.9
7,21.740700692,Female,img_7.bmp,52,156,52.91
8,30.6158579882,Female,img_8.bmp,155,180,99.2
9,26.7888757396,Female,img_9.bmp,150,176,82.98
10,38.7327823691,Male,img_10.bmp,68,156,94.26
11,30.8248393021,Male,img_11.bmp,66,159,77.93
12,41.3988888889,Male,img_12.bmp,80,158,103.35
13,31.0491666667,Male,img_13.bmp,138,171,90.79
14,35.5613965483,Male,img_14.bmp,66,158,88.78
15,34.6188444444,Male,img_15.bmp,82,157,85.33
16,42.5692041522,Female,img_16.bmp,139,173,127.41
17,23.5953786473,Male,img_17.bmp,82,159,59.65
18,41.2094594595,Male,img_18.bmp,118,161,106.82
19,21.3108108108,Male,img_19.bmp,107,157,52.53
20,26.6224852071,Male,img_20.bmp,87,159,67.3
21,21.6307692308,Male,img_21.bmp,83,156,52.64
22,41.8090397924,Male,img_22.bmp,76,156,101.75
23,22.3488321799,Male,img_23.bmp,79,156,54.39
24,33.8112792969,Female,img_24.bmp,113,159,85.48
25,24.8864746094,Female,img_25.bmp,109,157,61.34
26,40.4928,Male,img_26.bmp,162,183,135.61
27,30.8511918022,Male,img_27.bmp,114,158,77.02
28,31.4511657215,Male,img_28.bmp,94,156,76.54
29,20.3768115942,Male,img_29.bmp,106,156,49.59
30,33.9023919753,Male,img_30.bmp,121,163,90.08
31,27.7999614198,Male,img_31.bmp,104,156,67.65
32,31.4703856749,Female,img_32.bmp,73,157,77.57
33,23.4010560147,Female,img_33.bmp,73,156,56.95
34,29.2252456538,Female,img_34.bmp,133,166,80.53
